Library,Station,pressure,depth,temp,sal,OXYGEN,CTDOXY,PHSPHT,SILCAT,NITRAT,NITRIT,TALK,DIC,H2O_2_D_DELTA_BOTTLE,H2O_18_D_DELTA_BOTTLE,Al_D_CONC_BOTTLE,STANDARD_DEV,Ba_D_CONC_BOTTLE,Cd_D_CONC_BOTTLE,Fe_D_CONC_BOTTLE,Fe_D_CONC_BOTTLE_FIA,Fe_D_CONC_BOTTLE_FIA_STANDARD_DEV,Mn_D_CONC_BOTTLE,Mn_D_CONC_BOTTLE_STANDARD_DEV,Mo_D_CONC_BOTTLE,Ni_D_CONC_BOTTLE,Pb_D_CONC_BOTTLE,U_D_CONC_BOTTLE,Zn_D_CONC_BOTTLE,Y_D_CONC_BOTTLE,La_D_CONC_BOTTLE,Pa_231_D_CONC_BOTTLE,Pa_231_D_CONC_BOTTLE_STANDARD_DEV,Th_230_D_CONC_BOTTLE,Th_230_D_CONC_BOTTLE_STANDARD_DEV,Th_232_D_CONC_BOTTLE,Th_232_D_CONC_BOTTLE_STANDARD_DEV,Th_234_D_CONC_BOTTLE,Th_234_D_CONC_BOTTLE_STANDARD_DEV
S0023,15,80,79.4,18.8009786667,36.488007912,-1,215.4490666667,-0.2342133333,-0.0649866667,0.0549333333,-0.2088533333,866.9533333333,755.7306666667,2.615,-0.125,3.8535309333,-0.6251061867,20.3122,-0.6358784,-0.6078666667,-0.61448584,-0.66569,-0.3479816,-0.63365424,73.385,0.1356,6.7206666667,6.1112,-0.62656,41.6437066667,3.93304,-1,-1,-1,-1,-1,-1,11.228944,-0.11138768
S0024,15,100,99.4,24.253912,36.874407512,-1,208.7024,0.09512,0.24568,0.0016,0.00848,1199.62,1030.264,2.615,-0.125,4.7842776,-0.46575552,20.3122,-0.5025984,-0.4012,-0.42755784,-0.66569,0.2432384,-0.49394624,73.385,0.6156,6.754,6.1112,-0.47456,48.00904,7.26504,-1,-1,-1,-1,-1,-1,17.554144,-0.10033168
S0025,15,160,158.8,16.4703066667,36.2589450533,-1,186.332,1.32,6.14,20.46,0.01,2324.7,2183.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0026,15,180,178.8,15.11964,35.82427972,-1,147.132,1.32,6.14,20.46,0.01,2324.7,2183.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0027,17,10,9.9,25.974325,35.93730005,48.775,205.15875,0.03425,0.26225,0,0.012375,1181.725,1022.65,0.8875,-0.5425,4.43153625,-0.6792065,10.250975,-0.71214,-0.672375,-0.686598,0.00195,-0.29250125,-0.704232125,33.32,-0.04575,5.79625,2.388525,-0.58,30.41925,4.469,-1,-1,-1,-1,-1,-1,7.24755,-0.5670725
S0028,17,40,39.7210300429,22.3767896996,36.2492787768,-1,207.5536480687,0.0361373391,0.2830042918,0.1789699571,0.0557939914,2342.6,2015.2,-1,-1,15.3756,0.13658,-1,0.0038,0.05,0.06244,0.00293,0.65366,0.00683,-1,2.04,20.69,-1,0.02,128.57001,11.72,-1,-1,-1,-1,-1,-1,35.122,2.2439
S0029,17,80,79.4,17.64116,36.40011924,-1,201.084,0.1868,1.0856,2.8748,0.28,1195.9,1049.25,-1,-1,7.3878,-0.42195,-1,-0.49815,-0.47,-0.474145,-0.49951,-0.182925,-0.4961,-1,0.55,10.025,-1,-0.485,64.75,5.655,-1,-1,-1,-1,-1,-1,15.89025,0.42683
S0030,17,100,99.4,11.6384,28.2102004,-1,93.66,0.776,4.402,14.516,-0.154,2313.8,2175.9,1.045,-0.335,1.812195,-0.47073,22.3117,-0.4336,-0.42,-0.441465,-0.49512,-0.30488,-0.49317,69.099,1.185,8.63,5.8488,-0.42,50.955,7.885,-1,-1,-1,-1,-1,-1,18.7049,-0.114635
S0031,17,160,158.8,17.1881627907,36.4254968047,-1,190.9604651163,0.2598604651,1.8662325581,4.9615813953,0.056744186,-1,-1,-1,-1,26.9366,0.14634,-1,0.0236,0.18,0.1639,0.00488,0.50732,0.00683,-1,2.17,21.47,-1,0.08,135.11,15.5,-1,-1,-1,-1,-1,-1,41.1707,1.7561
S0032,17,180,178.8,14.9393255814,35.8361954093,-1,142.8209302326,0.9017209302,5.1964651163,14.6871627907,0.0334883721,-1,-1,-1,-1,26.9366,0.14634,-1,0.0236,0.18,0.1639,0.00488,0.50732,0.00683,-1,2.17,21.47,-1,0.08,135.11,15.5,-1,-1,-1,-1,-1,-1,41.1707,1.7561
S0033,33,10,9.9,28.9296,32.1217017,-1,201.09,0.02,7.82,0,0.01,2145,1824.6,-1,-1,28.4878,0.20488,-1,0.0005,0.53,0.55024,0.02732,3.19024,0.02927,-1,2.16,9.94,-1,0.03,154.13,21.19,-1,-1,-1,-1,-1,-1,21.4634,1.46341
S0034,33,75,74.6015936255,27.4640677291,36.0483939223,91.1,184.5039840637,0.0397609562,1.5007968127,0.443625498,0.3180278884,1181.3856573705,1011.6591633466,-1,-1,15.5540860558,-0.4073927689,-1,-0.4996539841,-0.3555577689,-0.3899960359,-0.4975289243,-0.2546957171,-0.4937066135,-1,0.4705577689,6.6565139442,-1,-0.2111155378,67.1077888446,8.2301195219,-1,-1,-1,-1,-1,-1,17.6725565737,0.2293728884
S0035,33,100,99.4,26.5686,36.6690008,-1,196.08,0.02,0.9,0,0.038,2409.6,2054.9,-1,-1,29.3951,0.04878,-1,0.0005,0.22,0.19805,0.0078,1.39512,0.02537,-1,1.87,15.65,-1,0.03,125.95,18,-1,-1,-1,-1,-1,-1,43.4146,2.43902
S0036,33,150,149.1053677932,22.1702306163,36.9092764016,145.2,145.7143141153,0.2360636183,1.6856858847,4.517693837,0.0396421471,2418,2148.4,-1,-1,29.3951,0.04878,-1,0.0005,0.22,0.19805,0.0078,1.39512,0.02537,-1,1.87,15.65,-1,0.03,125.95,18,-1,-1,-1,-1,-1,-1,43.4146,2.43902
S0037,33,200,198.7105263158,17.695,36.3530653289,-1,122.3368421053,0.7309210526,3.7421052632,13.0552631579,0.0153947368,1188.3,1088.55,-1,-1,7.7836236842,-0.4434525,-1,-0.4475355263,-0.1971052632,-0.1984735526,-0.4807561842,-0.3968567105,-0.4858156579,-1,0.8547368421,9.4218421053,-1,-0.4473684211,66.1467056579,8.6115789474,-1,-1,-1,-1,-1,-1,16.1588394737,0.0844027632
S0039,35,10,9.9,28.629,35.8052992,-1,193.41,0.01,1.01,0,0.01,2343.5,1993.9,-1,-1,32.039,0.14634,-1,0.0016,0.76,0.62927,0.02341,2.25366,0.02146,-1,1.95,17.61,-1,0.04,126.83,21.91,-1,-1,-1,-1,-1,-1,-1,-1
S0040,35,75,74.5876777251,27.8664194313,36.2200970332,-1,199.091943128,0.01,1.1123222749,0,0.0156161137,1189.7,1008.55,-1,-1,15.087221564,-0.3004851185,-1,-0.4375353081,-0.2764691943,-0.3534841706,-0.4354630095,0.684717654,-0.4298754028,-1,0.6736018957,9.7290521327,-1,-0.4229146919,70.8479340047,10.0195260664,-1,-1,-1,-1,-1,-1,20.4253327014,0.5906263033
S0041,35,100,99.4084507042,26.3529859155,36.2725764648,-1,186.0971830986,0.0283098592,1.2,0.0915492958,0.2763380282,2380.9,2056.3,-1,-1,27.561,0.39024,-1,0.0023,0.14,0.10244,0.00293,1.7561,0.02049,-1,1.98,16.98,-1,0.09,119.04,16.42,-1,-1,-1,-1,-1,-1,33.9512,1.7561
S0042,35,150,149.1111111111,18.9433333333,36.4374083333,-1,122.1222222222,0.6559259259,3.3666666667,11.6555555556,0.04,1236.1777777778,1123.862962963,-1,-1,7.10975,-0.387805,-1,-0.4382,-0.205,-0.281465,-0.496585,-0.334145,-0.49805,-1,1.015,8.675,-1,-0.44,59.155,8.52,-1,-1,-1,-1,-1,-1,20.2317,0.231705
S0043,35,200,198.8073022312,12.3075314402,35.3444208783,-1,98.8208924949,1.5190669371,9.4503042596,24.5884381339,0.0104868154,1192.15,1088,-1,-1,9.5393853955,0.0476756187,-1,0.1991981744,0.8535902637,0.8878967343,0.0069478499,0.2203172617,-0.0102203854,-1,3.3809736308,19.5194523327,-1,0.2429614604,121.650851927,19.0668762677,-1,-1,-1,-1,-1,-1,39.3284732252,1.7189950507
S0044,31,10,9.9,29.11916,32.828819,-1,205.144,0.02,1.272,0,0.03,2192.5,1831.5,-1,-1,25.1122,0.1561,-1,0.0013,0.52,0.39122,0.0078,2.63415,0.01268,-1,1.74,13.86,-1,0.04,163.35001,22.43,-1,-1,-1,-1,-1,-1,-1,-1
S0045,31,75,74.5041322314,26.9291404959,36.6741414649,194.6,196.4566115702,0.0101033058,1.0061983471,0,0.0986570248,1186.35,1011.65,-1,-1,33.6951167355,0.1527982438,-1,-0.0084512397,0.4352272727,0.3779364256,0.0021680165,1.1797923554,-0.0005303926,-1,1.8812809917,19.6812603306,-1,0.0093595041,129.8583884298,17.6027066116,-1,-1,-1,-1,-1,-1,44.2702696281,1.9207321901
S0046,31,100,99.406374502,26.1296334661,36.9253824064,94.85,191.8486055777,0.0146812749,0.912749004,0.093625498,0.2627689243,1285.4428286853,1099.0011952191,-1,-1,15.72925,-0.441465,-1,-0.4991,0.35,-0.35951,-0.49805,-0.16829,-0.49561,-1,0.465,12.025,-1,2.61,63.115,8.51,-1,-1,-1,-1,-1,-1,18.57315,0.32927
S0047,31,150,149.008097166,22.9849068826,37.139891668,94.85,164.4607287449,0.0786842105,0.9979757085,1.7655870445,0.0543522267,2403.4188259109,2111.7388663968,-1,-1,15.72925,-0.441465,-1,-0.4991,0.35,-0.35951,-0.49805,-0.16829,-0.49561,-1,0.465,12.025,-1,2.61,63.115,8.51,-1,-1,-1,-1,-1,-1,18.57315,0.32927
S0048,31,200,198.7139959432,20.4135091278,36.9367874483,-1,157.6152129817,0.2177687627,1.3336713996,4.8030425963,0.0213995943,1206.75,1072.95,-1,-1,10.4170659229,-0.4350184381,-1,-0.4681947262,-0.2720081136,-0.2646763692,-0.4724090669,-0.3483203448,-0.4749128803,-1,0.6805476673,11.1469776876,-1,-0.440040568,67.933306288,8.0607910751,-1,-1,-1,-1,-1,-1,22.4450107505,0.5636467546
S0049,8,30,29.7672413793,8.4810517241,34.7839217414,-1,280.6724137931,0.5200862069,2.8413793103,7.3586206897,0.1621551724,2349.4,2053.6,-1,-1,1.33659,0.02927,-1,0.1479,0.09,0.07415,0.00195,0.66342,0.00878,-1,3.55,22.27,-1,0.29,141.71001,27.45,-1,-1,-1,-1,-1,-1,34.9268,1.7561
S0050,8,65,64.3783783784,4.7214189189,34.6480661757,-1,282.9445945946,0.8368918919,5.4905405405,11.477027027,0.2160810811,2307.1648648649,2137.6054054054,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0051,8,75,74.3684210526,13.4943684211,35.4533154737,-1,256.5157894737,0.3189473684,2.23,3.8842105263,0.0831578947,2338.3,2092.6842105263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
