Library	Cruise	Station	BODC Station	CTDPRS [dbar]	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]
S0158	GA02	11	1608582	50	2010-05-11T15:01:30.000	320.60049	47.8
S0159	GA02	11	1608582	75	2010-05-11T15:01:30.000	320.60049	47.8
S0160	GA02	11	1608582	100	2010-05-11T15:01:30.000	320.60049	47.8
S0161	GA02	11	1608582	150	2010-05-11T15:01:30.000	320.60049	47.8
S0162	GA02	11	1608582	200	2010-05-11T15:01:30.000	320.60049	47.8
S0163	GA02	21	1608862	10	2010-06-13T06:51:59.000	295.83331	31.6668
S0164	GA02	21	1608862	75	2010-06-13T06:51:59.000	295.83331	31.6668
S0165	GA02	21	1608862	100	2010-06-13T06:51:59.000	295.83331	31.6668
S0166	GA02	21	1608862	150	2010-06-13T06:51:59.000	295.83331	31.6668
S0167	GA02	21	1608862	200	2010-06-13T06:51:59.000	295.83331	31.6668
S0168	GA02	23	1608904	10	2010-06-15T17:48:38.000	292.4985	28.0907
S0169	GA02	23	1608904	75	2010-06-15T17:48:38.000	292.4985	28.0907
S0170	GA02	23	1608904	100	2010-06-15T17:48:38.000	292.4985	28.0907
S0170	GA02	23	1608904	100	2010-06-15T17:48:38.000	292.4985	28.0907
S0171	GA02	23	1608904	150	2010-06-15T17:48:38.000	292.4985	28.0907
S0172	GA02	23	1608904	200	2010-06-15T17:48:38.000	292.4985	28.0907
S0177	GA02	8	1629687	50	2011-03-13T11:25:00.000	320.5632	-35.0088
S0178	GA02	8	1629687	152	2011-03-13T11:25:00.000	320.5632	-35.0088
S0179	GA02	9	1629708	10	2011-03-14T17:22:26.000	322.54071	-32.0894
S0180	GA02	9	1629708	151	2011-03-14T17:22:26.000	322.54071	-32.0894
S0181	GA02	10	1629722	11	2011-03-15T22:09:00.000	324.20401	-29.0579
S0182	GA02	10	1629722	51	2011-03-15T22:09:00.000	324.20401	-29.0579
S0183	GA02	10	1629722	152	2011-03-15T22:09:00.000	324.20401	-29.0579
S0184	GA02	11	1629743	11	2011-03-17T04:12:46.000	325.72089	-26.0891
S0185	GA02	11	1629743	50	2011-03-17T04:12:46.000	325.72089	-26.0891
S0186	GA02	11	1629743	152	2011-03-17T04:12:46.000	325.72089	-26.0891
S0187	GA02	12	1629771	10	2011-03-18T14:57:16.000	327.25562	-22.4715
S0188	GA02	12	1629771	50	2011-03-18T14:57:16.000	327.25562	-22.4715
S0189	GA02	12	1629771	151	2011-03-18T14:57:16.000	327.25562	-22.4715
S0190	GA02	13	1629785	49	2011-03-20T13:07:00.000	329.40079	-17.0168
S0191	GA02	14	1629806	10	2011-03-21T23:46:42.000	330.77271	-12.894
S0192	GA02	14	1629806	50	2011-03-21T23:46:42.000	330.77271	-12.894
S0193	GA02	14	1629806	150	2011-03-21T23:46:42.000	330.77271	-12.894
S0195	GA02	13	1629785	150	2011-03-20T13:07:00.000	329.40079	-17.0168
S0196	GA02	15	1629820	10	2011-03-23T09:15:29.000	332	-9.15415
S0197	GA02	15	1629820	50	2011-03-23T09:15:29.000	332	-9.15415
S0198	GA02	15	1629820	150	2011-03-23T09:15:29.000	332	-9.15415
S0199	GA02	16	1629841	10	2011-03-24T16:23:26.000	331.53989	-5.677
S0200	GA02	16	1629841	50	2011-03-24T16:23:26.000	331.53989	-5.677
S0201	GA02	16	1629841	150	2011-03-24T16:23:26.000	331.53989	-5.677
S0202	GA02	17	1629869	10	2011-03-25T21:54:55.000	331.0831	-2.65115
S0203	GA02	17	1629869	50	2011-03-25T21:54:55.000	331.0831	-2.65115
S0204	GA02	17	1629869	150	2011-03-25T21:54:55.000	331.0831	-2.65115
S0205	GA02	18	1629883	10	2011-03-27T11:28:00.000	327.12189	-0.18715
S0206	GA02	18	1629883	50	2011-03-27T11:28:00.000	327.12189	-0.18715
S0207	GA02	18	1629883	150	2011-03-27T11:28:00.000	327.12189	-0.18715
S0209	GA02	1	1629547	10	2011-03-05T19:28:00.000	307.31189	-49.5472
S0210	GA02	1	1629547	50	2011-03-05T19:28:00.000	307.31189	-49.5472
S0211	GA02	2	1629582	10	2011-03-06T23:17:05.000	311.26529	-48.8942
S0212	GA02	2	1629582	50	2011-03-06T23:17:05.000	311.26529	-48.8942
S0213	GA02	2	1629582	150	2011-03-06T23:17:05.000	311.26529	-48.8942
S0214	GA02	3	1629596	10	2011-03-08T01:17:59.000	312.80042	-46.92
S0215	GA02	3	1629596	50	2011-03-08T01:17:59.000	312.80042	-46.92
S0216	GA02	3	1629596	150	2011-03-08T01:17:59.000	312.80042	-46.92
S0217	GA02	4	1629610	10	2011-03-09T01:31:59.000	314.4639	-44.7068
S0218	GA02	4	1629610	50	2011-03-09T01:31:59.000	314.4639	-44.7068
S0219	GA02	4	1629610	150	2011-03-09T01:31:59.000	314.4639	-44.7068
S0220	GA02	5	1629624	10	2011-03-10T00:58:29.000	315.97421	-42.3713
S0221	GA02	5	1629624	50	2011-03-10T00:58:29.000	315.97421	-42.3713
S0222	GA02	5	1629624	150	2011-03-10T00:58:29.000	315.97421	-42.3713
S0223	GA02	6	1629652	10	2011-03-11T03:14:21.000	317.5834	-39.9632
S0224	GA02	6	1629652	50	2011-03-11T03:14:21.000	317.5834	-39.9632
S0225	GA02	6	1629652	150	2011-03-11T03:14:21.000	317.5834	-39.9632
S0226	GA02	7	1629673	10	2011-03-12T05:31:52.000	318.86911	-37.8398
S0227	GA02	7	1629673	50	2011-03-12T05:31:52.000	318.86911	-37.8398
S0228	GA02	7	1629673	150	2011-03-12T05:31:52.000	318.86911	-37.8398
S0229	GA02	8	1629687	10	2011-03-13T11:25:00.000	320.5632	-35.0088
S0231	GA03	7	1700009	30	2010-10-24T16:58:17.000	338.00201	24.0022
S0232	GA03	7	1700009	60	2010-10-24T16:58:17.000	338.00201	24.0022
S0233	GA03	7	1700009	70	2010-10-24T16:58:17.000	338.00201	24.0022
S0234	GA03	7	1700009	150	2010-10-24T16:58:17.000	338.00201	24.0022
S0235	GA03	7	1700009	200	2010-10-24T16:58:17.000	338.00201	24.0022
S0236	GA03	7	1700009	250	2010-10-24T16:58:17.000	338.00201	24.0022
S0237	GA03	7	1700009	2	2010-10-24T16:58:17.000	338.00201	24.0022
S0238	GA03	10	1700142	50	2010-10-30T08:16:28.000	339.17889	17.3538
S0239	GA03	10	1700142	85	2010-10-30T08:16:28.000	339.17889	17.3538
S0240	GA03	10	1700142	100	2010-10-30T08:16:28.000	339.17889	17.3538
S0241	GA03	10	1700142	150	2010-10-30T08:16:28.000	339.17889	17.3538
S0242	GA03	10	1700142	185	2010-10-30T08:16:28.000	339.17889	17.3538
S0243	GA03	10	1700142	2	2010-10-30T08:16:28.000	339.17889	17.3538
S0244	GA03	12	1700240	30	2010-11-02T14:55:09.000	335.5022	17.4021
S0245	GA04	13	1700240	50	2010-11-02T14:55:09.001	335.5022	17.4021
S0246	GA05	14	1700240	85	2010-11-02T14:55:09.002	335.5022	17.4021
S0247	GA06	15	1700240	100	2010-11-02T14:55:09.003	335.5022	17.4021
S0248	GA07	16	1700240	140	2010-11-02T14:55:09.004	335.5022	17.4021
S0249	GA08	17	1700240	180	2010-11-02T14:55:09.005	335.5022	17.4021
S0250	GA09	18	1700240	2	2010-11-02T14:55:09.006	335.5022	17.4021
S0294	GA02	18	1608715	10	2010-05-22T11:39:29.000	301.9498	33.4334
S0295	GA02	18	1608715	50	2010-05-22T11:39:29.000	301.9498	33.4334
S0296	GA02	18	1608715	75	2010-05-22T11:39:29.000	301.9498	33.4334
S0297	GA02	18	1608715	150	2010-05-22T11:39:29.000	301.9498	33.4334
S0298	GA02	18	1608715	200	2010-05-22T11:39:29.000	301.9498	33.4334
