sampleid,norm_cnt,cnt_norm_cnt
S0003,1.081298446535476E-6,46
S0003,2.319564695771077E-8,56
S0003,1.8734456775707218E-6,13
S0003,3.499365204729708E-6,2
S0003,2.401861580182681E-6,3
S0003,1.431775139608832E-6,11
S0003,1.1241945059778178E-6,41
S0003,3.6591927447259894E-6,1
S0003,2.2671361786748816E-6,3
S0003,3.5022249420258643E-6,1
S0003,2.7647304682060467E-6,2
S0003,2.8705407481638233E-6,1
S0003,1.069224000173928E-6,36
S0003,5.8249671236815595E-6,1
S0003,1.9852931807092725E-6,3
S0003,1.6576943860051656E-6,7
S0003,6.616478857539882E-6,1
S0003,1.7047211770975107E-6,5
S0003,1.7453929964206199E-6,6
S0003,1.9547893162169405E-6,3
S0003,1.7765323580898756E-6,4
S0003,1.5753975015935616E-6,11
S0003,1.4946893601242665E-6,18
S0003,2.225193364997925E-6,9
S0003,1.0565140566354563E-6,61
S0003,1.3364505630702946E-6,22
S0003,1.5741265072397144E-6,8
S0003,1.353926735435693E-6,28
S0003,1.6198823039782123E-6,16
S0003,1.475624444816559E-6,10
S0003,1.3246938652972083E-6,20
S0003,2.6007721965597622E-6,1
S0003,2.385020904994206E-6,2
S0003,1.0603270396969978E-6,31
S0003,3.5937365355028602E-6,1
S0003,2.0764870255978064E-6,3
S0003,1.654199151532086E-6,8
S0003,1.5350434308589142E-6,13
S0003,1.705992171451358E-6,4
S0003,4.407172921965046E-6,1
S0003,2.189923271678666E-6,3
S0003,1.425737916428058E-6,12
S0003,3.047844460525503E-6,1
S0003,2.1845215456748156E-6,2
S0003,1.7724016264398722E-6,5
S0003,2.1816618083786595E-6,3
S0003,1.9376308924400037E-6,9
S0003,1.3977760406434203E-6,14
S0003,3.7020888041683314E-6,1
S0003,3.2219706870025643E-6,1
S0003,2.8276446887214812E-6,2
S0003,1.5299594534435255E-6,10
S0003,2.3891516366442095E-6,5
S0003,1.7685886433783307E-6,10
S0003,1.734589544412919E-6,4
S0003,1.6627783634205541E-6,7
