asample,bsample,JaccardDistance
S0024,SS0158,0.16487612102606963
S0016,S0024,0.11933474813371026
S0024,SS0039,0.13769479208776392
S0011,S0026,0.2405142741463847
SS0033,SS0047,0.12855280535320945
S0008,SS0150,0.16326578774337552
S0023,SS0039,0.17061887955291288
S0009,SS0048,0.20191441695462176
S0004,SS0033,0.18002511066715443
S0016,SS0153,0.13683934852981672
S0006,SS0048,0.1920546103088755
S0008,S0019,0.2512535598166602
S0009,SS0035,0.20505805178512515
S0005,SS0037,0.12640044733013855
S0005,S0008,0.2398760531004851
SS0036,SS0046,0.13073498723544774
SS0036,SS0150,0.11889454956699286
SS0039,SS0149,0.22128033808361902
SS0045,SS0150,0.16784172765789163
S0002,SS0042,0.17476174699606495
S0003,SS0039,0.13980331314411065
S0003,SS0157,0.1881518552744702
S0009,S0025,0.1766557161688883
S0010,S0028,0.1800259565058996
S0010,S0016,0.11116078753160485
SS0039,SS0153,0.2071535305218033
S0006,SS0033,0.17595010294025915
S0024,SS0043,0.15771783103789272
S0019,SS0151,0.3269399951985713
SS0035,SS0041,0.15738445256012146
S0023,SS0035,0.15472180982866235
S0006,SS0035,0.11316172254287127
S0028,SS0040,0.2666317595497135
S0016,SS0040,0.21742403401549737
SS0036,SS0039,0.11468207934970853
S0027,SS0034,0.1796816582595595
S0026,SS0156,0.23534084523263632
SS0047,SS0156,0.3318665009980163
S0008,S0024,0.18477876087132694
S0022,S0023,0.082329903673375
SS0033,SS0042,0.19494269012027488
S0020,S0024,0.17180861772582334
S0012,S0027,0.29412368494032615
S0013,SS0039,0.2553509434160455
S0021,S0023,0.08242805656837837
S0013,SS0042,0.24953062539378046
S0027,SS0048,0.24289422755919243
S0008,SS0154,0.27407699609809677
S0029,SS0154,0.1544969599265058
S0009,SS0154,0.18494283011452184
S0010,SS0155,0.19243295911812763
SS0041,SS0156,0.20763511383332967
S0015,SS0041,0.18795388001498747
S0008,S0018,0.17778565614598263
SS0035,SS0039,0.1431124772952569
SS0035,SS0045,0.12950291612356546
S0005,SS0047,0.17958612081341552
SS0040,SS0046,0.16668315373139897
S0001,SS0047,0.4924579560616571
S0001,S0022,0.3951021967560736
SS0048,SS0149,0.17315855402017444
SS0033,SS0034,0.15855619980435254
SS0042,SS0151,0.24466376842601
S0003,S0029,0.23288321188837047
S0013,SS0155,0.22286574706759488
S0009,SS0042,0.24579158033005122
S0003,S0009,0.2114459764949398
S0006,SS0151,0.2868482324719831
S0021,SS0041,0.15728235954326086
S0018,SS0033,0.19313436609722234
SS0036,SS0042,0.13112711151964052
S0001,S0011,0.5385542694122827
S0016,SS0039,0.19311232916985144
S0022,SS0156,0.22543170550585945
SS0151,SS0156,0.1022007716344675
S0021,S0025,0.1263913388140706
SS0045,SS0157,0.20702483214008027
S0024,SS0151,0.2664588678021801
S0023,SS0033,0.16027070092429974
S0002,S0026,0.18282156451687104
S0015,S0022,0.1653514431783234
S0002,S0004,0.28933269065203415
S0003,SS0153,0.18321678596788948
S0029,SS0043,0.22271745227557915
SS0043,SS0149,0.19208376665606686
S0019,S0029,0.12666055658080655
S0018,SS0047,0.21876995104575037
S0012,SS0035,0.22842962818854462
S0028,SS0036,0.2083625270640751
S0001,S0015,0.4671789844805506
S0027,SS0047,0.24791410282099868
S0020,SS0157,0.3154428630807282
S0017,SS0151,0.25532396335646934
S0026,SS0150,0.15884298276237518
S0012,SS0034,0.2283003919048171
S0012,SS0039,0.28971535397394177
S0021,SS0039,0.17551185744746456
S0029,SS0034,0.19917867808711165
S0029,SS0042,0.2566558342593306
S0029,SS0157,0.32944486777258797
S0013,SS0045,0.2699887943211591
S0009,SS0045,0.26127923624875327
S0004,S0028,0.21274813710268559
SS0153,SS0155,0.158485463418357
S0026,SS0153,0.1702180825106543
S0024,SS0037,0.12087703345159828
S0016,S0018,0.12749197118291145
SS0040,SS0047,0.2732128015394417
S0017,SS0036,0.11983142497194199
SS0039,SS0048,0.2256424289997857
S0027,SS0149,0.2090815913880334
S0011,SS0157,0.36669868354855073
S0016,SS0042,0.1927896739140842
S0024,SS0042,0.15635054534866732
S0002,SS0150,0.16606099460287171
S0008,S0009,0.28132067421206475
S0009,SS0158,0.13693649962787413
S0010,S0025,0.14736906257616877
SS0153,SS0157,0.2486645125045459
SS0037,SS0046,0.14488747840460192
S0003,SS0043,0.17322963296141136
SS0041,SS0149,0.20666006774277546
S0019,SS0154,0.17145144816602342
S0004,S0019,0.14263977014506557
S0021,S0026,0.1474538675681415
S0029,SS0035,0.20215887211089034
S0005,SS0048,0.18171077642099642
S0005,S0024,0.12637988319041005
S0005,SS0151,0.3178048122021464
S0005,SS0155,0.17630455337351736
S0015,SS0040,0.24916179039686281
S0022,SS0040,0.17966987793962585
SS0034,SS0040,0.1333795318781419
S0001,S0009,0.48387276515614386
